,AAPL,,MSFT,,NFLX
Date,Close,Date,Close,Date,Close
4/29/2024, $173.50 ,4/29/2024, $402.25 ,4/29/2024, $559.49 
4/30/2024, $170.33 ,4/30/2024, $389.33 ,4/30/2024, $550.64 
5/1/2024, $169.30 ,5/1/2024, $394.94 ,5/1/2024, $551.71 
5/2/2024, $173.03 ,5/2/2024, $397.84 ,5/2/2024, $565.15 
5/3/2024, $183.38 ,5/3/2024, $406.66 ,5/3/2024, $579.34 
5/6/2024, $181.71 ,5/6/2024, $413.54 ,5/6/2024, $596.97 
5/7/2024, $182.40 ,5/7/2024, $409.34 ,5/7/2024, $606.00 
5/8/2024, $182.74 ,5/8/2024, $410.54 ,5/8/2024, $609.47 
5/9/2024, $184.57 ,5/9/2024, $412.32 ,5/9/2024, $612.09 
5/10/2024, $183.05 ,5/10/2024, $414.74 ,5/10/2024, $610.87 
5/13/2024, $186.28 ,5/13/2024, $413.72 ,5/13/2024, $616.59 
5/14/2024, $187.43 ,5/14/2024, $416.56 ,5/14/2024, $613.66 
5/15/2024, $189.72 ,5/15/2024, $423.08 ,5/15/2024, $613.52 
5/16/2024, $189.84 ,5/16/2024, $420.99 ,5/16/2024, $610.52 
5/17/2024, $189.87 ,5/17/2024, $420.21 ,5/17/2024, $621.10 
5/20/2024, $191.04 ,5/20/2024, $425.34 ,5/20/2024, $640.82 
5/21/2024, $192.35 ,5/21/2024, $429.04 ,5/21/2024, $650.61 
5/22/2024, $190.90 ,5/22/2024, $430.52 ,5/22/2024, $640.47 
5/23/2024, $186.88 ,5/23/2024, $427.00 ,5/23/2024, $635.67 
5/24/2024, $189.98 ,5/24/2024, $430.16 ,5/24/2024, $646.75 
5/28/2024, $189.99 ,5/28/2024, $430.32 ,5/28/2024, $649.00 
5/29/2024, $190.29 ,5/29/2024, $429.17 ,5/29/2024, $654.62 
5/30/2024, $191.29 ,5/30/2024, $414.67 ,5/30/2024, $647.66 
5/31/2024, $192.25 ,5/31/2024, $415.13 ,5/31/2024, $641.62 
6/3/2024, $194.03 ,6/3/2024, $413.52 ,6/3/2024, $633.79 
6/4/2024, $194.35 ,6/4/2024, $416.07 ,6/4/2024, $631.62 
6/5/2024, $195.87 ,6/5/2024, $424.01 ,6/5/2024, $650.27 
6/6/2024, $194.48 ,6/6/2024, $424.52 ,6/6/2024, $648.52 
6/7/2024, $196.89 ,6/7/2024, $423.85 ,6/7/2024, $641.47 
6/10/2024, $193.12 ,6/10/2024, $427.87 ,6/10/2024, $644.50 
6/11/2024, $207.15 ,6/11/2024, $432.68 ,6/11/2024, $648.55 
6/12/2024, $213.07 ,6/12/2024, $441.06 ,6/12/2024, $650.06 
6/13/2024, $214.24 ,6/13/2024, $441.58 ,6/13/2024, $653.26 
6/14/2024, $212.49 ,6/14/2024, $442.57 ,6/14/2024, $669.38 
6/17/2024, $216.67 ,6/17/2024, $448.37 ,6/17/2024, $675.83 
6/18/2024, $214.29 ,6/18/2024, $446.34 ,6/18/2024, $685.67 
6/20/2024, $209.68 ,6/20/2024, $445.70 ,6/20/2024, $679.03 
6/21/2024, $207.49 ,6/21/2024, $449.78 ,6/21/2024, $686.12 
6/24/2024, $208.14 ,6/24/2024, $447.67 ,6/24/2024, $669.02 
6/25/2024, $209.07 ,6/25/2024, $450.95 ,6/25/2024, $672.41 
6/26/2024, $213.25 ,6/26/2024, $452.16 ,6/26/2024, $677.69 
6/27/2024, $214.10 ,6/27/2024, $452.85 ,6/27/2024, $684.34 
6/28/2024, $210.62 ,6/28/2024, $446.95 ,6/28/2024, $674.88 
7/1/2024, $216.75 ,7/1/2024, $456.73 ,7/1/2024, $673.61 
7/2/2024, $220.27 ,7/2/2024, $459.28 ,7/2/2024, $679.58 
7/3/2024, $221.55 ,7/3/2024, $460.77 ,7/3/2024, $682.51 
7/5/2024, $226.34 ,7/5/2024, $467.56 ,7/5/2024, $690.65 
7/8/2024, $227.82 ,7/8/2024, $466.24 ,7/8/2024, $685.74 
7/9/2024, $228.68 ,7/9/2024, $459.54 ,7/9/2024, $685.74 
7/10/2024, $232.98 ,7/10/2024, $466.25 ,7/10/2024, $677.65 
7/11/2024, $227.57 ,7/11/2024, $454.70 ,7/11/2024, $652.75 
7/12/2024, $230.54 ,7/12/2024, $453.55 ,7/12/2024, $647.60 
7/15/2024, $234.40 ,7/15/2024, $453.96 ,7/15/2024, $656.45 
7/16/2024, $234.82 ,7/16/2024, $449.52 ,7/16/2024, $656.32 
7/17/2024, $228.88 ,7/17/2024, $443.52 ,7/17/2024, $647.46 
7/18/2024, $224.18 ,7/18/2024, $440.37 ,7/18/2024, $643.04 
7/19/2024, $224.31 ,7/19/2024, $437.11 ,7/19/2024, $633.34 
7/22/2024, $223.96 ,7/22/2024, $442.94 ,7/22/2024, $647.50 
7/23/2024, $225.01 ,7/23/2024, $444.85 ,7/23/2024, $642.76 
7/24/2024, $218.54 ,7/24/2024, $428.90 ,7/24/2024, $635.99 
7/25/2024, $217.49 ,7/25/2024, $418.40 ,7/25/2024, $634.09 
7/26/2024, $217.96 ,7/26/2024, $425.27 ,7/26/2024, $631.37 
7/29/2024, $218.24 ,7/29/2024, $426.73 ,7/29/2024, $626.96 
7/30/2024, $218.80 ,7/30/2024, $422.92 ,7/30/2024, $622.58 
7/31/2024, $222.08 ,7/31/2024, $418.35 ,7/31/2024, $628.35 
8/1/2024, $218.36 ,8/1/2024, $417.11 ,8/1/2024, $624.85 
8/2/2024, $219.86 ,8/2/2024, $408.49 ,8/2/2024, $613.64 
8/5/2024, $209.27 ,8/5/2024, $395.15 ,8/5/2024, $598.55 
8/6/2024, $207.23 ,8/6/2024, $399.61 ,8/6/2024, $609.57 
8/7/2024, $209.82 ,8/7/2024, $398.43 ,8/7/2024, $611.48 
8/8/2024, $213.31 ,8/8/2024, $402.69 ,8/8/2024, $630.35 
8/9/2024, $216.24 ,8/9/2024, $406.02 ,8/9/2024, $633.94 
8/12/2024, $217.53 ,8/12/2024, $406.81 ,8/12/2024, $633.14 
8/13/2024, $221.27 ,8/13/2024, $414.01 ,8/13/2024, $648.02 
8/14/2024, $221.72 ,8/14/2024, $416.86 ,8/14/2024, $661.68 
8/15/2024, $224.72 ,8/15/2024, $421.03 ,8/15/2024, $663.22 
8/16/2024, $226.05 ,8/16/2024, $418.47 ,8/16/2024, $674.07 
8/19/2024, $225.89 ,8/19/2024, $421.53 ,8/19/2024, $688.53 
8/20/2024, $226.51 ,8/20/2024, $424.80 ,8/20/2024, $698.54 
8/21/2024, $226.40 ,8/21/2024, $424.14 ,8/21/2024, $697.12 
